# zmid   n(z)
# No galaxies : 138565 
0.009100 0.000000
0.018099 0.000000
0.027098 0.000000
0.036098 0.000000
0.045098 0.009162
0.054097 0.009920
0.063097 0.011073
0.072096 0.012486
0.081096 0.014012
0.090095 0.015451
0.099095 0.016544
0.108094 0.017027
0.117094 0.016765
0.126093 0.015759
0.135092 0.014138
0.144092 0.012180
0.153092 0.010225
0.162091 0.008609
0.171090 0.007542
0.180090 0.007096
0.189090 0.007156
0.198089 0.007507
0.207089 0.007888
0.216088 0.008072
0.225087 0.007933
0.234087 0.007507
0.243087 0.006923
0.252086 0.006289
0.261086 0.005680
0.270085 0.005131
0.279085 0.004649
0.288084 0.004209
0.297083 0.003837
0.306083 0.003555
0.315082 0.003327
0.324082 0.003148
0.333082 0.003028
0.342081 0.002997
0.351081 0.003082
0.360080 0.003302
0.369080 0.003624
0.378079 0.004003
0.387078 0.004397
0.396078 0.004756
0.405077 0.005042
0.414077 0.005253
0.423077 0.005434
0.432076 0.005697
0.441076 0.006169
0.450075 0.006892
0.459074 0.007797
0.468074 0.008670
0.477073 0.009217
0.486073 0.009324
0.495073 0.009212
0.504072 0.009272
0.513071 0.009739
0.522071 0.010688
0.531070 0.011952
0.540070 0.013284
0.549070 0.014525
0.558069 0.015676
0.567069 0.016872
0.576068 0.018477
0.585068 0.020872
0.594067 0.024280
0.603067 0.028359
0.612066 0.032352
0.621065 0.035519
0.630065 0.037612
0.639064 0.038890
0.648064 0.039943
0.657063 0.041303
0.666063 0.042988
0.675062 0.045000
0.684062 0.047252
0.693061 0.049644
0.702061 0.052563
0.711061 0.056738
0.720060 0.063036
0.729060 0.071285
0.738059 0.080424
0.747059 0.088886
0.756058 0.096291
0.765058 0.104008
0.774057 0.114067
0.783056 0.128904
0.792056 0.151636
0.801055 0.184353
0.810055 0.228135
0.819054 0.281919
0.828054 0.342270
0.837053 0.404972
0.846053 0.464561
0.855052 0.516860
0.864052 0.562009
0.873052 0.603607
0.882051 0.649249
0.891051 0.708504
0.900050 0.791517
0.909050 0.904374
0.918049 1.049297
0.927049 1.223306
0.936048 1.415845
0.945047 1.614557
0.954047 1.810693
0.963046 1.999558
0.972046 2.185271
0.981045 2.379243
0.990045 2.592077
0.999044 2.829358
1.008044 3.086055
1.017043 3.345171
1.026043 3.584395
1.035043 3.784897
1.044042 3.936590
1.053041 4.040946
1.062041 4.107645
1.071041 4.148365
1.080040 4.172698
1.089039 4.186724
1.098039 4.194160
1.107038 4.194995
1.116038 4.184764
1.125038 4.155653
1.134037 4.093368
1.143036 3.975268
1.152036 3.773373
1.161036 3.467756
1.170035 3.056230
1.179034 2.560992
1.188034 2.023296
1.197034 1.499605
1.206033 1.040672
1.215032 0.677605
1.224032 0.419313
1.233032 0.252413
1.242031 0.149878
1.251030 0.092662
1.260030 0.066559
1.269029 0.059099
1.278029 0.059268
1.287029 0.061618
1.296028 0.063048
1.305027 0.063411
1.314027 0.062646
1.323027 0.060637
1.332026 0.057316
1.341025 0.052760
1.350025 0.047885
1.359025 0.043361
1.368024 0.039878
1.377023 0.037005
1.386023 0.034243
1.395023 0.031323
1.404022 0.027961
1.413021 0.023780
1.422021 0.019024
1.431020 0.014313
1.440020 0.010389
1.449020 0.007578
1.458019 0.005754
1.467018 0.004699
1.476018 0.004157
1.485018 0.003945
1.494017 0.003965
1.503016 0.004207
1.512016 0.004644
1.521016 0.005210
1.530015 0.005772
1.539014 0.006208
1.548014 0.006476
1.557014 0.006583
1.566013 0.006587
1.575012 0.006540
1.584012 0.006420
1.593011 0.006186
1.602011 0.005771
1.611011 0.005152
1.620010 0.004405
1.629009 0.003648
1.638009 0.002990
1.647009 0.002538
1.656008 0.002363
1.665007 0.002433
1.674007 0.002679
1.683007 0.003070
1.692006 0.003550
1.701005 0.004068
1.710005 0.004557
1.719005 0.004979
1.728004 0.005402
1.737003 0.005954
1.746003 0.006729
1.755002 0.007693
1.764002 0.008740
1.773002 0.009724
1.782001 0.010475
1.791000 0.010877
1.800000 0.010972
