# zmid   n(z)
# No galaxies : 1016461 
0.009100 0.000000
0.018099 0.000000
0.027098 0.000000
0.036098 0.000000
0.045098 0.044519
0.054097 0.047689
0.063097 0.050747
0.072096 0.053972
0.081096 0.057626
0.090095 0.061749
0.099095 0.066292
0.108094 0.070863
0.117094 0.074778
0.126093 0.077508
0.135092 0.079173
0.144092 0.080686
0.153092 0.083386
0.162091 0.088754
0.171090 0.098179
0.180090 0.112612
0.189090 0.131855
0.198089 0.154408
0.207089 0.177623
0.216088 0.198535
0.225087 0.215539
0.234087 0.229282
0.243087 0.241883
0.252086 0.256948
0.261086 0.278864
0.270085 0.312013
0.279085 0.360845
0.288084 0.430094
0.297083 0.523795
0.306083 0.644787
0.315082 0.793494
0.324082 0.965425
0.333082 1.153913
0.342081 1.350275
0.351081 1.546716
0.360080 1.737048
0.369080 1.918339
0.378079 2.091867
0.387078 2.262804
0.396078 2.437512
0.405077 2.620823
0.414077 2.811458
0.423077 3.000087
0.432076 3.171881
0.441076 3.314020
0.450075 3.419090
0.459074 3.490294
0.468074 3.539574
0.477073 3.581685
0.486073 3.628810
0.495073 3.687447
0.504072 3.756301
0.513071 3.828884
0.522071 3.892544
0.531070 3.929457
0.540070 3.920591
0.549070 3.849270
0.558069 3.706595
0.567069 3.495105
0.576068 3.228145
0.585068 2.925483
0.594067 2.607401
0.603067 2.289952
0.612066 1.982754
0.621065 1.692762
0.630065 1.424460
0.639064 1.182145
0.648064 0.968864
0.657063 0.785964
0.666063 0.632309
0.675062 0.505089
0.684062 0.400393
0.693061 0.315629
0.702061 0.248513
0.711061 0.197074
0.720060 0.158572
0.729060 0.130263
0.738059 0.108978
0.747059 0.092674
0.756058 0.079541
0.765058 0.068751
0.774057 0.059698
0.783056 0.052174
0.792056 0.046064
0.801055 0.041227
0.810055 0.037545
0.819054 0.034796
0.828054 0.032586
0.837053 0.030528
0.846053 0.028247
0.855052 0.025517
0.864052 0.022441
0.873052 0.019261
0.882051 0.016291
0.891051 0.013802
0.900050 0.011857
0.909050 0.010419
0.918049 0.009418
0.927049 0.008774
0.936048 0.008424
0.945047 0.008273
0.954047 0.008251
0.963046 0.008273
0.972046 0.008194
0.981045 0.007903
0.990045 0.007480
0.999044 0.007059
1.008044 0.006730
1.017043 0.006555
1.026043 0.006474
1.035043 0.006369
1.044042 0.006193
1.053041 0.005951
1.062041 0.005686
1.071041 0.005481
1.080040 0.005418
1.089039 0.005567
1.098039 0.005940
1.107038 0.006521
1.116038 0.007277
1.125038 0.008131
1.134037 0.008958
1.143036 0.009571
1.152036 0.009816
1.161036 0.009595
1.170035 0.008945
1.179034 0.007900
1.188034 0.006587
1.197034 0.005242
1.206033 0.004043
1.215032 0.003078
1.224032 0.002418
1.233032 0.002050
1.242031 0.001939
1.251030 0.002053
1.260030 0.002341
1.269029 0.002726
1.278029 0.003117
1.287029 0.003415
1.296028 0.003542
1.305027 0.003477
1.314027 0.003265
1.323027 0.003002
1.332026 0.002775
1.341025 0.002636
1.350025 0.002616
1.359025 0.002725
1.368024 0.002923
1.377023 0.003141
1.386023 0.003300
1.395023 0.003359
1.404022 0.003294
1.413021 0.003100
1.422021 0.002828
1.431020 0.002545
1.440020 0.002310
1.449020 0.002158
1.458019 0.002095
1.467018 0.002116
1.476018 0.002188
1.485018 0.002285
1.494017 0.002380
1.503016 0.002454
1.512016 0.002502
1.521016 0.002543
1.530015 0.002599
1.539014 0.002674
1.548014 0.002769
1.557014 0.002876
1.566013 0.003001
1.575012 0.003147
1.584012 0.003299
1.593011 0.003419
1.602011 0.003455
1.611011 0.003362
1.620010 0.003133
1.629009 0.002799
1.638009 0.002427
1.647009 0.002088
1.656008 0.001834
1.665007 0.001689
1.674007 0.001651
1.683007 0.001692
1.692006 0.001763
1.701005 0.001815
1.710005 0.001820
1.719005 0.001769
1.728004 0.001680
1.737003 0.001577
1.746003 0.001479
1.755002 0.001392
1.764002 0.001319
1.773002 0.001252
1.782001 0.001182
1.791000 0.001107
1.800000 0.001032
