# zmid   n(z)
# No galaxies : 686425 
0.009100 0.000000
0.018099 0.000000
0.027098 0.000000
0.036098 0.000000
0.045098 0.147085
0.054097 0.169410
0.063097 0.194966
0.072096 0.225964
0.081096 0.264881
0.090095 0.313238
0.099095 0.372245
0.108094 0.441940
0.117094 0.522269
0.126093 0.612552
0.135092 0.713786
0.144092 0.828735
0.153092 0.962741
0.162091 1.123281
0.171090 1.318796
0.180090 1.553045
0.189090 1.820893
0.198089 2.104725
0.207089 2.377139
0.216088 2.609515
0.225087 2.783858
0.234087 2.899604
0.243087 2.972984
0.252086 3.029403
0.261086 3.095723
0.270085 3.192587
0.279085 3.333143
0.288084 3.521549
0.297083 3.752860
0.306083 4.012530
0.315082 4.273229
0.324082 4.498435
0.333082 4.648325
0.342081 4.690053
0.351081 4.607228
0.360080 4.401044
0.369080 4.090190
0.378079 3.705028
0.387078 3.282214
0.396078 2.857177
0.405077 2.459633
0.414077 2.107411
0.423077 1.805476
0.432076 1.547879
0.441076 1.324866
0.450075 1.127193
0.459074 0.950124
0.468074 0.793292
0.477073 0.659666
0.486073 0.550816
0.495073 0.467066
0.504072 0.405254
0.513071 0.361964
0.522071 0.331948
0.531070 0.310820
0.540070 0.294191
0.549070 0.278854
0.558069 0.262289
0.567069 0.243691
0.576068 0.223256
0.585068 0.202118
0.594067 0.181896
0.603067 0.163819
0.612066 0.148079
0.621065 0.134328
0.630065 0.121681
0.639064 0.109580
0.648064 0.097948
0.657063 0.086904
0.666063 0.076744
0.675062 0.067871
0.684062 0.060439
0.693061 0.054328
0.702061 0.049520
0.711061 0.046005
0.720060 0.043476
0.729060 0.041370
0.738059 0.039048
0.747059 0.036183
0.756058 0.032750
0.765058 0.028954
0.774057 0.025068
0.783056 0.021440
0.792056 0.018216
0.801055 0.015450
0.810055 0.013183
0.819054 0.011362
0.828054 0.009898
0.837053 0.008688
0.846053 0.007629
0.855052 0.006630
0.864052 0.005667
0.873052 0.004760
0.882051 0.003955
0.891051 0.003325
0.900050 0.002906
0.909050 0.002684
0.918049 0.002635
0.927049 0.002712
0.936048 0.002856
0.945047 0.003025
0.954047 0.003177
0.963046 0.003262
0.972046 0.003253
0.981045 0.003144
0.990045 0.002967
0.999044 0.002783
1.008044 0.002667
1.017043 0.002670
1.026043 0.002803
1.035043 0.003035
1.044042 0.003310
1.053041 0.003563
1.062041 0.003761
1.071041 0.003903
1.080040 0.004018
1.089039 0.004138
1.098039 0.004290
1.107038 0.004475
1.116038 0.004718
1.125038 0.005025
1.134037 0.005366
1.143036 0.005691
1.152036 0.005935
1.161036 0.006020
1.170035 0.005914
1.179034 0.005579
1.188034 0.005038
1.197034 0.004377
1.206033 0.003693
1.215032 0.003077
1.224032 0.002591
1.233032 0.002255
1.242031 0.002062
1.251030 0.001999
1.260030 0.002038
1.269029 0.002158
1.278029 0.002336
1.287029 0.002541
1.296028 0.002725
1.305027 0.002844
1.314027 0.002880
1.323027 0.002863
1.332026 0.002835
1.341025 0.002844
1.350025 0.002926
1.359025 0.003093
1.368024 0.003318
1.377023 0.003536
1.386023 0.003686
1.395023 0.003751
1.404022 0.003727
1.413021 0.003626
1.422021 0.003501
1.431020 0.003398
1.440020 0.003346
1.449020 0.003345
1.458019 0.003392
1.467018 0.003473
1.476018 0.003557
1.485018 0.003623
1.494017 0.003651
1.503016 0.003624
1.512016 0.003546
1.521016 0.003440
1.530015 0.003340
1.539014 0.003270
1.548014 0.003232
1.557014 0.003230
1.566013 0.003263
1.575012 0.003330
1.584012 0.003420
1.593011 0.003488
1.602011 0.003484
1.611011 0.003367
1.620010 0.003116
1.629009 0.002757
1.638009 0.002359
1.647009 0.001989
1.656008 0.001695
1.665007 0.001497
1.674007 0.001390
1.683007 0.001359
1.692006 0.001371
1.701005 0.001401
1.710005 0.001420
1.719005 0.001419
1.728004 0.001397
1.737003 0.001359
1.746003 0.001309
1.755002 0.001255
1.764002 0.001202
1.773002 0.001144
1.782001 0.001082
1.791000 0.001015
1.800000 0.000950
