# zmid   n(z)
# No galaxies : 533402 
0.009100 0.000000
0.018099 0.000000
0.027098 0.000000
0.036098 0.000000
0.045098 0.015691
0.054097 0.017792
0.063097 0.019933
0.072096 0.021891
0.081096 0.023569
0.090095 0.024838
0.099095 0.025464
0.108094 0.025253
0.117094 0.024143
0.126093 0.022209
0.135092 0.019639
0.144092 0.016763
0.153092 0.014041
0.162091 0.011948
0.171090 0.010778
0.180090 0.010503
0.189090 0.010876
0.198089 0.011543
0.207089 0.012124
0.216088 0.012239
0.225087 0.011770
0.234087 0.010972
0.243087 0.010172
0.252086 0.009511
0.261086 0.008923
0.270085 0.008308
0.279085 0.007723
0.288084 0.007326
0.297083 0.007213
0.306083 0.007373
0.315082 0.007724
0.324082 0.008268
0.333082 0.008985
0.342081 0.009896
0.351081 0.010993
0.360080 0.012182
0.369080 0.013243
0.378079 0.013973
0.387078 0.014375
0.396078 0.014619
0.405077 0.014800
0.414077 0.014858
0.423077 0.014697
0.432076 0.014399
0.441076 0.014069
0.450075 0.013802
0.459074 0.013737
0.468074 0.014078
0.477073 0.014981
0.486073 0.016456
0.495073 0.018426
0.504072 0.020784
0.513071 0.023267
0.522071 0.025759
0.531070 0.028342
0.540070 0.030909
0.549070 0.033627
0.558069 0.037068
0.567069 0.041614
0.576068 0.047578
0.585068 0.055118
0.594067 0.064376
0.603067 0.075254
0.612066 0.087177
0.621065 0.099716
0.630065 0.113180
0.639064 0.128338
0.648064 0.146810
0.657063 0.170850
0.666063 0.202819
0.675062 0.245356
0.684062 0.301243
0.693061 0.373890
0.702061 0.467019
0.711061 0.584072
0.720060 0.726626
0.729060 0.894502
0.738059 1.086219
0.747059 1.299532
0.756058 1.531418
0.765058 1.779371
0.774057 2.042070
0.783056 2.319982
0.792056 2.612433
0.801055 2.916035
0.810055 3.223209
0.819054 3.520605
0.828054 3.790727
0.837053 4.016156
0.846053 4.181519
0.855052 4.277825
0.864052 4.305448
0.873052 4.272909
0.882051 4.193229
0.891051 4.079372
0.900050 3.942890
0.909050 3.791079
0.918049 3.626613
0.927049 3.449681
0.936048 3.260076
0.945047 3.059641
0.954047 2.852421
0.963046 2.643976
0.972046 2.439185
0.981045 2.243276
0.990045 2.058835
0.999044 1.886477
1.008044 1.724142
1.017043 1.567584
1.026043 1.412547
1.035043 1.257694
1.044042 1.104459
1.053041 0.958370
1.062041 0.824998
1.071041 0.708100
1.080040 0.608720
1.089039 0.527003
1.098039 0.461764
1.107038 0.411376
1.116038 0.374113
1.125038 0.347606
1.134037 0.327923
1.143036 0.310177
1.152036 0.289737
1.161036 0.263763
1.170035 0.230913
1.179034 0.191843
1.188034 0.150306
1.197034 0.110977
1.206033 0.077516
1.215032 0.051585
1.224032 0.032965
1.233032 0.020697
1.242031 0.013530
1.251030 0.010114
1.260030 0.009057
1.269029 0.009226
1.278029 0.009899
1.287029 0.010772
1.296028 0.011579
1.305027 0.012004
1.314027 0.011861
1.323027 0.011253
1.332026 0.010515
1.341025 0.009915
1.350025 0.009551
1.359025 0.009546
1.368024 0.009941
1.377023 0.010387
1.386023 0.010594
1.395023 0.010449
1.404022 0.009781
1.413021 0.008503
1.422021 0.006898
1.431020 0.005355
1.440020 0.004069
1.449020 0.003070
1.458019 0.002334
1.467018 0.001819
1.476018 0.001464
1.485018 0.001233
1.494017 0.001088
1.503016 0.001006
1.512016 0.000994
1.521016 0.001059
1.530015 0.001187
1.539014 0.001384
1.548014 0.001651
1.557014 0.001990
1.566013 0.002407
1.575012 0.002870
1.584012 0.003290
1.593011 0.003596
1.602011 0.003713
1.611011 0.003595
1.620010 0.003301
1.629009 0.002913
1.638009 0.002521
1.647009 0.002220
1.656008 0.002066
1.665007 0.002052
1.674007 0.002136
1.683007 0.002275
1.692006 0.002423
1.701005 0.002554
1.710005 0.002643
1.719005 0.002692
1.728004 0.002735
1.737003 0.002820
1.746003 0.002959
1.755002 0.003136
1.764002 0.003333
1.773002 0.003519
1.782001 0.003638
1.791000 0.003679
1.800000 0.003643
